schema_version,evidence_id,action_id,action_name,sector,component,source_id,source_title,pdf_page,printed_page,quote_verbatim,quote_language,indicator_ids_addressed,indicator_names_addressed,direction,quantified_value,support_scope,maladaptation_signal,extraction_run_id,review_status,reviewed_by,reviewed_at,review_note
0.3.0,ev_e89f8f55e5a29043,icare_0180,Expand urban green-blue networks and corridors,biodiversity,exposure,B_SRC_010,"Climate Change 2022: Impacts, Adaptation and Vulnerability - Chapter 2: Terrestrial and Freshwater Ecosystems and their Services",7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",en,90028 | 90030,Natural coverage | Area for conservation,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_17ceaf36a66fb614,icare_0180,Expand urban green-blue networks and corridors,biodiversity,vulnerability,B_SRC_007,Harnessing Nature to Build Climate Resilience: Scaling Up the Use of Ecosystem-based Adaptation,10,8,"Common examples of EbA measures include the conservation or restoration of mangroves to protect coastal communities from storm surges and sea level rise, the establishment of green roofs, street trees and urban parks to reduce the risks of heatwaves and flooding in cities, and the conservation of upslope forests to prevent landslides and downstream flooding under extreme weather events.",en,90018 | 90019,Environmental liabilities | Vegetation loss,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_98e3130b0dffc7f8,icare_0180,Expand urban green-blue networks and corridors,biodiversity,vulnerability,B_SRC_010,"Climate Change 2022: Impacts, Adaptation and Vulnerability - Chapter 2: Terrestrial and Freshwater Ecosystems and their Services",7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",en,90018 | 90019,Environmental liabilities | Vegetation loss,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_aeb87333c0fcdba8,icare_0182,Develop an Urban Afforestation Plan,biodiversity,exposure,B_SRC_007,Harnessing Nature to Build Climate Resilience: Scaling Up the Use of Ecosystem-based Adaptation,10,8,"Common examples of EbA measures include the conservation or restoration of mangroves to protect coastal communities from storm surges and sea level rise, the establishment of green roofs, street trees and urban parks to reduce the risks of heatwaves and flooding in cities, and the conservation of upslope forests to prevent landslides and downstream flooding under extreme weather events.",en,90028 | 90030,Natural coverage | Area for conservation,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_f0051b40454ef6d8,icare_0182,Develop an Urban Afforestation Plan,biodiversity,exposure,B_SRC_010,"Climate Change 2022: Impacts, Adaptation and Vulnerability - Chapter 2: Terrestrial and Freshwater Ecosystems and their Services",7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",en,90028 | 90030,Natural coverage | Area for conservation,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_b419ecf0e46db9f4,icare_0182,Develop an Urban Afforestation Plan,biodiversity,vulnerability,B_SRC_007,Harnessing Nature to Build Climate Resilience: Scaling Up the Use of Ecosystem-based Adaptation,10,8,"Common examples of EbA measures include the conservation or restoration of mangroves to protect coastal communities from storm surges and sea level rise, the establishment of green roofs, street trees and urban parks to reduce the risks of heatwaves and flooding in cities, and the conservation of upslope forests to prevent landslides and downstream flooding under extreme weather events.",en,90018 | 90019,Environmental liabilities | Vegetation loss,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_d7b0c7e4227ce4d2,icare_0182,Develop an Urban Afforestation Plan,biodiversity,vulnerability,B_SRC_010,"Climate Change 2022: Impacts, Adaptation and Vulnerability - Chapter 2: Terrestrial and Freshwater Ecosystems and their Services",7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",en,90018 | 90019,Environmental liabilities | Vegetation loss,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_73e8d0d5708ff097,icare_0186,Implement integrated coastal zone management,biodiversity,exposure,B_SRC_007,Harnessing Nature to Build Climate Resilience: Scaling Up the Use of Ecosystem-based Adaptation,15,13,"Building codes and zoning regulations can be used to promote the conservation, management and restoration of ecosystems for climate change adaptation. Governments can also revise and improve land and coastal zoning regulations so that they protect ecosystems that are critical for adaptation, for example, prohibiting development of vulnerable coastal ecosystems or floodplains that provide valuable flood protection services.",en,90028 | 90029 | 90030,Natural coverage | Protected area | Area for conservation,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_08a94436ad56bd5d,icare_0186,Implement integrated coastal zone management,biodiversity,vulnerability,B_SRC_007,Harnessing Nature to Build Climate Resilience: Scaling Up the Use of Ecosystem-based Adaptation,15,13,"Building codes and zoning regulations can be used to promote the conservation, management and restoration of ecosystems for climate change adaptation. Governments can also revise and improve land and coastal zoning regulations so that they protect ecosystems that are critical for adaptation, for example, prohibiting development of vulnerable coastal ecosystems or floodplains that provide valuable flood protection services.",en,90018 | 90019 | 90027,Environmental liabilities | Vegetation loss | Steering committee and management plan,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_e6102a5439400512,ipcc_0078,Implement green roofs and walls,biodiversity,exposure,B_SRC_007,Harnessing Nature to Build Climate Resilience: Scaling Up the Use of Ecosystem-based Adaptation,10,8,"Common examples of EbA measures include the conservation or restoration of mangroves to protect coastal communities from storm surges and sea level rise, the establishment of green roofs, street trees and urban parks to reduce the risks of heatwaves and flooding in cities, and the conservation of upslope forests to prevent landslides and downstream flooding under extreme weather events.",en,90028,Natural coverage,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_556d782c8de1fbf3,ipcc_0078,Implement green roofs and walls,biodiversity,vulnerability,B_SRC_007,Harnessing Nature to Build Climate Resilience: Scaling Up the Use of Ecosystem-based Adaptation,10,8,"Common examples of EbA measures include the conservation or restoration of mangroves to protect coastal communities from storm surges and sea level rise, the establishment of green roofs, street trees and urban parks to reduce the risks of heatwaves and flooding in cities, and the conservation of upslope forests to prevent landslides and downstream flooding under extreme weather events.",en,90019,Vegetation loss,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_da94a030246f6f75,ipcc_0084,Restore/create natural areas,biodiversity,exposure,B_SRC_005,Plano Nacional de Adaptação à Mudança do Clima,139,121,"Fortalecer as medidas de conservação, recuperação e uso sustentável da biodiversidade visando o aumento da conectividade entre remanescentes dos ecossistemas e a consolidação de Unidades de Conservação, refletindo a gestão florestal integrada da paisagem e propiciando a redução da vulnerabilidade da biodiversidade.",pt,90028 | 90029 | 90030,Natural coverage | Protected area | Area for conservation,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_3f014c0476b01e5b,ipcc_0084,Restore/create natural areas,biodiversity,exposure,B_SRC_007,Harnessing Nature to Build Climate Resilience: Scaling Up the Use of Ecosystem-based Adaptation,10,8,"Common examples of EbA measures include the conservation or restoration of mangroves to protect coastal communities from storm surges and sea level rise, the establishment of green roofs, street trees and urban parks to reduce the risks of heatwaves and flooding in cities, and the conservation of upslope forests to prevent landslides and downstream flooding under extreme weather events.",en,90028 | 90030,Natural coverage | Area for conservation,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_c881b462206c3010,ipcc_0084,Restore/create natural areas,biodiversity,exposure,B_SRC_010,"Climate Change 2022: Impacts, Adaptation and Vulnerability - Chapter 2: Terrestrial and Freshwater Ecosystems and their Services",7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",en,90028 | 90029 | 90030,Natural coverage | Protected area | Area for conservation,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_837b8d7ae13148df,ipcc_0084,Restore/create natural areas,biodiversity,vulnerability,B_SRC_005,Plano Nacional de Adaptação à Mudança do Clima,139,121,"Fortalecer as medidas de conservação, recuperação e uso sustentável da biodiversidade visando o aumento da conectividade entre remanescentes dos ecossistemas e a consolidação de Unidades de Conservação, refletindo a gestão florestal integrada da paisagem e propiciando a redução da vulnerabilidade da biodiversidade.",pt,90018 | 90019 | 90027,Environmental liabilities | Vegetation loss | Steering committee and management plan,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_0398431a82786654,ipcc_0084,Restore/create natural areas,biodiversity,vulnerability,B_SRC_007,Harnessing Nature to Build Climate Resilience: Scaling Up the Use of Ecosystem-based Adaptation,10,8,"Common examples of EbA measures include the conservation or restoration of mangroves to protect coastal communities from storm surges and sea level rise, the establishment of green roofs, street trees and urban parks to reduce the risks of heatwaves and flooding in cities, and the conservation of upslope forests to prevent landslides and downstream flooding under extreme weather events.",en,90018 | 90019,Environmental liabilities | Vegetation loss,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_2e0785afbfbf8368,ipcc_0084,Restore/create natural areas,biodiversity,vulnerability,B_SRC_010,"Climate Change 2022: Impacts, Adaptation and Vulnerability - Chapter 2: Terrestrial and Freshwater Ecosystems and their Services",7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",en,90018 | 90019,Environmental liabilities | Vegetation loss,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_ab822b3283ba70f7,ipcc_0085,Reduce pressures on ecosystems to build resilience,biodiversity,exposure,B_SRC_005,Plano Nacional de Adaptação à Mudança do Clima,139,121,"Fortalecer as medidas de conservação, recuperação e uso sustentável da biodiversidade visando o aumento da conectividade entre remanescentes dos ecossistemas e a consolidação de Unidades de Conservação, refletindo a gestão florestal integrada da paisagem e propiciando a redução da vulnerabilidade da biodiversidade.",pt,90028 | 90029 | 90030,Natural coverage | Protected area | Area for conservation,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_20a2c1d7e3b32f18,ipcc_0085,Reduce pressures on ecosystems to build resilience,biodiversity,exposure,B_SRC_010,"Climate Change 2022: Impacts, Adaptation and Vulnerability - Chapter 2: Terrestrial and Freshwater Ecosystems and their Services",7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",en,90028 | 90029 | 90030,Natural coverage | Protected area | Area for conservation,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_17664ab88659d241,ipcc_0085,Reduce pressures on ecosystems to build resilience,biodiversity,vulnerability,B_SRC_005,Plano Nacional de Adaptação à Mudança do Clima,139,121,"Fortalecer as medidas de conservação, recuperação e uso sustentável da biodiversidade visando o aumento da conectividade entre remanescentes dos ecossistemas e a consolidação de Unidades de Conservação, refletindo a gestão florestal integrada da paisagem e propiciando a redução da vulnerabilidade da biodiversidade.",pt,90018 | 90019 | 90027,Environmental liabilities | Vegetation loss | Steering committee and management plan,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_915af1da87e25ce2,ipcc_0085,Reduce pressures on ecosystems to build resilience,biodiversity,vulnerability,B_SRC_010,"Climate Change 2022: Impacts, Adaptation and Vulnerability - Chapter 2: Terrestrial and Freshwater Ecosystems and their Services",7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",en,90018 | 90019,Environmental liabilities | Vegetation loss,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_7cb308f72855b1e4,ipcc_0086,Implement ecosystem‑based adaptation measures,biodiversity,exposure,B_SRC_007,Harnessing Nature to Build Climate Resilience: Scaling Up the Use of Ecosystem-based Adaptation,10,8,"Common examples of EbA measures include the conservation or restoration of mangroves to protect coastal communities from storm surges and sea level rise, the establishment of green roofs, street trees and urban parks to reduce the risks of heatwaves and flooding in cities, and the conservation of upslope forests to prevent landslides and downstream flooding under extreme weather events.",en,90028 | 90030,Natural coverage | Area for conservation,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_b0e13be13852f8cc,ipcc_0086,Implement ecosystem‑based adaptation measures,biodiversity,exposure,B_SRC_010,"Climate Change 2022: Impacts, Adaptation and Vulnerability - Chapter 2: Terrestrial and Freshwater Ecosystems and their Services",7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",en,90028 | 90029 | 90030,Natural coverage | Protected area | Area for conservation,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_36c5177a0d7d12c9,ipcc_0086,Implement ecosystem‑based adaptation measures,biodiversity,vulnerability,B_SRC_007,Harnessing Nature to Build Climate Resilience: Scaling Up the Use of Ecosystem-based Adaptation,10,8,"Common examples of EbA measures include the conservation or restoration of mangroves to protect coastal communities from storm surges and sea level rise, the establishment of green roofs, street trees and urban parks to reduce the risks of heatwaves and flooding in cities, and the conservation of upslope forests to prevent landslides and downstream flooding under extreme weather events.",en,90018 | 90019,Environmental liabilities | Vegetation loss,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_f37b99532c0733f9,ipcc_0086,Implement ecosystem‑based adaptation measures,biodiversity,vulnerability,B_SRC_010,"Climate Change 2022: Impacts, Adaptation and Vulnerability - Chapter 2: Terrestrial and Freshwater Ecosystems and their Services",7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",en,90018 | 90019 | 90020,Environmental liabilities | Vegetation loss | Degraded pasture,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_bf723946abf9de4b,ipcc_0089,Spatially redirect development,biodiversity,exposure,B_SRC_007,Harnessing Nature to Build Climate Resilience: Scaling Up the Use of Ecosystem-based Adaptation,15,13,"Building codes and zoning regulations can be used to promote the conservation, management and restoration of ecosystems for climate change adaptation. Governments can also revise and improve land and coastal zoning regulations so that they protect ecosystems that are critical for adaptation, for example, prohibiting development of vulnerable coastal ecosystems or floodplains that provide valuable flood protection services.",en,90028 | 90029 | 90030,Natural coverage | Protected area | Area for conservation,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_0cb5b349bb57e41d,ipcc_0089,Spatially redirect development,biodiversity,vulnerability,B_SRC_007,Harnessing Nature to Build Climate Resilience: Scaling Up the Use of Ecosystem-based Adaptation,15,13,"Building codes and zoning regulations can be used to promote the conservation, management and restoration of ecosystems for climate change adaptation. Governments can also revise and improve land and coastal zoning regulations so that they protect ecosystems that are critical for adaptation, for example, prohibiting development of vulnerable coastal ecosystems or floodplains that provide valuable flood protection services.",en,90018 | 90019 | 90022 | 90023 | 90024 | 90027,Environmental liabilities | Vegetation loss | Population | Agricultural establishment | Road network | Steering committee and management plan,supports,,whole_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_9229a0f05a794df6,ipcc_0096,Strengthen climate resilience in farming and fisheries,biodiversity,vulnerability,B_SRC_005,Plano Nacional de Adaptação à Mudança do Clima,140,122,"Fortalecer as políticas e ações de conservação dos ecossistemas aquáticos, propiciando a manutenção da conectividade desses ambientes e do regime de vazões adequadas aos processos ecológicos das espécies dependentes. Fortalecer medidas de gestão pesqueira para conservação e uso sustentável dos recursos, considerando a vulnerabilidade das espécies de peixes associadas a ambientes coralíneos, manguezais e estuários.",pt,90014 | 90015 | 90016 | 90020 | 90023 | 90026,Pesticides | No family farming | No sustainable agricultural practice | Degraded pasture | Agricultural establishment | Technical guidance,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_587ecdabc09a02d2,ipcc_0096,Strengthen climate resilience in farming and fisheries,biodiversity,vulnerability,B_SRC_010,"Climate Change 2022: Impacts, Adaptation and Vulnerability - Chapter 2: Terrestrial and Freshwater Ecosystems and their Services",7,203,"The resilience of biodiversity and ecosystem services to climate change can be increased by human adaptation actions including ecosystem protection and restoration (high confidence). Ecological theory and observations show that a wide range of actions can reduce risks to species and ecosystem integrity. This includes minimising additional stresses or disturbances; reducing fragmentation; increasing natural habitat extent, connectivity and heterogeneity; maintaining taxonomic, phylogenetic, and functional diversity and redundancy; and protecting small-scale refugia where micro-climate conditions can allow species to persist (high confidence).",en,90014 | 90015 | 90016 | 90020 | 90023 | 90026,Pesticides | No family farming | No sustainable agricultural practice | Degraded pasture | Agricultural establishment | Technical guidance,supports,,partial_action,false,all_sectors_evidence_2026-08-30,proposed,,,
0.3.0,ev_0b828167290df42e,c40_0048,Upgrade urban drainage systems,energy_security,vulnerability,ES_SRC_009,Stronger Power: Improving Power Sector Resilience to Natural Hazards,25,24,"One straightforward way to improve power system performance during floods is to elevate solar panels, or to locate plants or substations in an elevated area that will not be flooded – and, when possible, far enough from the coastline to avoid coastal flood. For existing plants that cannot be moved, elevating critical components is an option (particularly for substations), as is building dikes or flood protection walls.",en,10008,Electricity interruption,supports,,partial_action,false,energy_security_assessment_2026-08-28,proposed,,,
0.3.0,ev_c7ad87b777a4510e,c40_0048,Upgrade urban drainage systems,energy_security,vulnerability,ES_SRC_010,Enhancing Resilience: Climate-proofing Power Infrastructure,9,9,"Protect critical assets with upgrades tailored to local climate threats (flood defences, storm hardening, etc.). Selected solutions must match the specific vulnerabilities identified.",en,10008,Electricity interruption,supports,,partial_action,false,energy_security_assessment_2026-08-28,proposed,,,
