"parameter_id","parameter_title","parameter_type","meaning_category","calculation_phase","unit","tef_priority_tag","all_tags","tef_global_default","global_default_available","global_default_scaling","global_default_valid_from","global_default_year","global_default_reference","global_default_reference_domain","global_default_comment","country_specific_value_count","countries_with_values","default_use_assessment","preferred_source_level","data_sourcing_effort","assessment_rationale","classification_status","direct_activity_model_count","direct_activity_model_ids","transition_model_count","transition_model_codes","transition_model_ids","sectors","m1_in_scope_tef_parameter","m1_in_scope_shift_count","m1_in_scope_shift_codes","m1_data_work_assessment","tef_source_file","tef_repository","tef_source_snapshot","analysis_date","tef_licence"
"initial_operation_wind_onshore","Initial operation wind onshore","OPERATIONS","Activity level / stock","Core baseline / abatement calculation","kwh","PRIO_LOW","operations; PRIO_LOW","0","true","PER_CAPITA","2019-01-01","2019","https://climateview.slab.com/posts/electricity-production-and-consumption-uk-kknqra9l","climateview.slab.com","Initialized to zero.","8","CA; CH; DE; ES; FR; GB; SE; US","Replace with local data","City or local inventory","High","Defines the baseline activity or stock being acted on and therefore drives city-scale potential.","Rule-based initial assessment; expert validation required","1","wind_onshore","1","T-5A1-TE-10","wind_onshore","energy","true","1","T-5A1-TE-10","Replace with local data","models/parameters/initial_operation_wind_onshore.yaml","https://www.transitionelements.org/","TEF working repository snapshot reviewed 2026-08-25","2026-08-25","CC BY-NC-SA 4.0"
"resource_proportion_aviation_biofuel","Fuel proportion aviation biofuel","RESOURCE_PROPORTION","Fuel / resource mix","Core baseline / abatement calculation","percent","PRIO_LOW","resource_proportion; PRIO_LOW","0","true","CONSTANT","2019-01-01","2019","","","Initialized to zero.","5","CH; DE; GB; SE; US","Replace with local data","City/country fuel or technology mix","Medium","Represents the existing resource or fuel mix, which varies materially by place.","Rule-based initial assessment; expert validation required","1","passenger_transportation_by_air","4","T-1A3-TE-1; T-1A3-TE-2; T-1A3-TE-3; T-1A3-TE-4","biofuels_for_air_transport; electric_passenger_airplanes; more_efficient_passenger_airplanes; shift_from_passenger_air_transport_to_railway","transport","true","3","T-1A3-TE-2; T-1A3-TE-3; T-1A3-TE-4","Replace with local data","models/parameters/resource_proportion_aviation_biofuel.yaml","https://www.transitionelements.org/","TEF working repository snapshot reviewed 2026-08-25","2026-08-25","CC BY-NC-SA 4.0"
"resource_proportion_aviation_turbine_fuel","Fuel proportion aviation turbine fuel","RESOURCE_PROPORTION","Fuel / resource mix","Core baseline / abatement calculation","percent","PRIO_LOW","resource_proportion; PRIO_LOW","100","true","CONSTANT","2019-01-01","2019","","","Initialized to 100%.","2","CH; DE","Replace with local data","City/country fuel or technology mix","Medium","Represents the existing resource or fuel mix, which varies materially by place.","Rule-based initial assessment; expert validation required","1","passenger_transportation_by_air","4","T-1A3-TE-1; T-1A3-TE-2; T-1A3-TE-3; T-1A3-TE-4","biofuels_for_air_transport; electric_passenger_airplanes; more_efficient_passenger_airplanes; shift_from_passenger_air_transport_to_railway","transport","true","3","T-1A3-TE-2; T-1A3-TE-3; T-1A3-TE-4","Replace with local data","models/parameters/resource_proportion_aviation_turbine_fuel.yaml","https://www.transitionelements.org/","TEF working repository snapshot reviewed 2026-08-25","2026-08-25","CC BY-NC-SA 4.0"
"resource_proportion_biodiesel","Fuel proportion biodiesel for vehicles","RESOURCE_PROPORTION","Fuel / resource mix","Core baseline / abatement calculation","percent","PRIO_MEDIUM","resource_proportion; PRIO_MEDIUM","0","true","CONSTANT","2019-01-01","2019","","","Initialized to 0%.","3","DE; GB; SE","Replace with local data","City/country fuel or technology mix","Medium","Represents the existing resource or fuel mix, which varies materially by place.","Rule-based initial assessment; expert validation required","1","diesel_vehicles","20","T-1A1A-TE-1; T-1A1A-TE-10; T-1A1A-TE-11; T-1A1A-TE-12; T-1A1A-TE-13; T-1A1A-TE-14; T-1A1A-TE-15; T-1A1A-TE-16; T-1A1A-TE-17; T-1A1A-TE-18; T-1A1A-TE-19; T-1A1A-TE-2; T-1A1A-TE-21; T-1A1A-TE-22; T-1A1A-TE-3; T-1A1A-TE-4; T-1A1A-TE-5; T-1A1A-TE-6; T-1A1A-TE-7; T-1A1A-TE-8","ecodriving_of_cars; improved_urban_planning; improved_vehicle_technology; increase_renewable_proportion_in_diesel; increased_proportion_of_commuting_by_electric_bus; increased_proportion_of_non_travel_meetings_and_services; increased_proportion_of_public_transport_by_diesel_bus; increased_proportion_of_public_transport_by_gas_bus; increased_proportion_of_public_transport_by_hydrogen_bus; increased_proportion_of_public_transport_by_lpg_bus; increased_proportion_of_public_transport_by_petrol_bus; increased_proportion_of_public_transport_by_trams_and_light_rail; increased_proportion_of_walking_and_cycling; more_efficient_commuting_by_car; shift_to_electric_bikes; shift_to_electric_vehicles; shift_to_gas_vehicles; shift_to_hydrogen_vehicles; transfer_from_car_to_railway; transfer_from_car_to_remote_working","transport","true","14","T-1A1A-TE-1; T-1A1A-TE-10; T-1A1A-TE-11; T-1A1A-TE-12; T-1A1A-TE-13; T-1A1A-TE-14; T-1A1A-TE-15; T-1A1A-TE-16; T-1A1A-TE-17; T-1A1A-TE-18; T-1A1A-TE-19; T-1A1A-TE-22; T-1A1A-TE-4; T-1A1A-TE-6","Replace with local data","models/parameters/resource_proportion_biodiesel.yaml","https://www.transitionelements.org/","TEF working repository snapshot reviewed 2026-08-25","2026-08-25","CC BY-NC-SA 4.0"
"resource_proportion_biodiesel_buses","Fuel proportion biodiesel for buses","RESOURCE_PROPORTION","Fuel / resource mix","Core baseline / abatement calculation","percent","PRIO_LOW","resource_proportion; PRIO_LOW","0","true","CONSTANT","2019-01-01","2019","","","Initialized to 0%.","0","","Replace with local data","City/country fuel or technology mix","Medium","Represents the existing resource or fuel mix, which varies materially by place.","Rule-based initial assessment; expert validation required","1","diesel_buses","3","T-1A1A-TE-17; T-1A1C-TE-1; T-1A1C-TE-4","biofuel_for_diesel_buses; improved_vehicle_technology_buses; increased_proportion_of_public_transport_by_diesel_bus","transport","true","2","T-1A1A-TE-17; T-1A1C-TE-4","Replace with local data","models/parameters/resource_proportion_biodiesel_buses.yaml","https://www.transitionelements.org/","TEF working repository snapshot reviewed 2026-08-25","2026-08-25","CC BY-NC-SA 4.0"
"resource_proportion_biodiesel_heavy_trucks","Fuel proportion of biodiesel for heavy trucks","RESOURCE_PROPORTION","Fuel / resource mix","Core baseline / abatement calculation","percent","PRIO_MEDIUM","resource_proportion; PRIO_MEDIUM","0","true","CONSTANT","2019-01-01","2019","","","Initialized to 0%.","3","CH; DE; SE","Replace with local data","City/country fuel or technology mix","Medium","Represents the existing resource or fuel mix, which varies materially by place.","Rule-based initial assessment; expert validation required","1","diesel_heavy_trucks","9","T-1B1B-TE-1; T-1B1B-TE-10; T-1B1B-TE-2; T-1B1B-TE-4; T-1B1B-TE-5; T-1B1B-TE-6; T-1B1B-TE-7; T-1B1B-TE-8; T-1B1B-TE-9","biofuel_for_heavy_trucks; ecodriving_of_heavy_trucks; gas_heavy_trucks; hydrogen_for_heavy_trucks; improved_load_factor_heavy_trucks; improved_vehicle_technology_heavy_trucks; shift_to_electric_heavy_trucks; transfer_from_heavy_truck_to_electric_railway; transfer_from_heavy_truck_to_sea","transport","true","5","T-1B1B-TE-1; T-1B1B-TE-10; T-1B1B-TE-6; T-1B1B-TE-7; T-1B1B-TE-9","Replace with local data","models/parameters/resource_proportion_biodiesel_heavy_trucks.yaml","https://www.transitionelements.org/","TEF working repository snapshot reviewed 2026-08-25","2026-08-25","CC BY-NC-SA 4.0"
"resource_proportion_biodiesel_light_trucks","Fuel proportion of biodiesel for light trucks","RESOURCE_PROPORTION","Fuel / resource mix","Core baseline / abatement calculation","percent","PRIO_MEDIUM","resource_proportion; PRIO_MEDIUM","0","true","CONSTANT","2019-01-01","2019","","","Initialized to 0%.","3","CH; DE; SE","Replace with local data","City/country fuel or technology mix","Medium","Represents the existing resource or fuel mix, which varies materially by place.","Rule-based initial assessment; expert validation required","1","diesel_light_trucks","9","T-1B1A-TE-1; T-1B1A-TE-10; T-1B1A-TE-2; T-1B1A-TE-4; T-1B1A-TE-5; T-1B1A-TE-6; T-1B1A-TE-7; T-1B1A-TE-8; T-1B1A-TE-9","biofuel_for_light_trucks; ecodriving_of_light_trucks; electric_light_trucks; gas_light_trucks; hydrogen_for_light_trucks; improved_load_factor_light_trucks; improved_vehicle_technology_light_trucks; route_optimisation_light_trucks; shift_to_electric_cargo_bikes","transport","true","5","T-1B1A-TE-1; T-1B1A-TE-10; T-1B1A-TE-6; T-1B1A-TE-7; T-1B1A-TE-8","Replace with local data","models/parameters/resource_proportion_biodiesel_light_trucks.yaml","https://www.transitionelements.org/","TEF working repository snapshot reviewed 2026-08-25","2026-08-25","CC BY-NC-SA 4.0"
"resource_proportion_biodiesel_rail_freight","Fuel proportion biodiesel for freight rail","RESOURCE_PROPORTION","Fuel / resource mix","Core baseline / abatement calculation","percent","","resource_proportion","0","true","CONSTANT","2019-01-01","2019","","","Initialized to 0%.","0","","Replace with local data","City/country fuel or technology mix","Medium","Represents the existing resource or fuel mix, which varies materially by place.","Rule-based initial assessment; expert validation required","1","diesel_rail_freight","3","T-1B2-TE-1; T-1B2-TE-2; T-1B2-TE-3","biofuel_for_diesel_rail_freight; shift_to_electric_freight_rail; shift_to_hydrogen_freight_rail","transport","true","1","T-1B2-TE-2","Replace with local data","models/parameters/resource_proportion_biodiesel_rail_freight.yaml","https://www.transitionelements.org/","TEF working repository snapshot reviewed 2026-08-25","2026-08-25","CC BY-NC-SA 4.0"
"resource_proportion_biodiesel_rail_passenger","Fuel proportion biodiesel for passenger rail","RESOURCE_PROPORTION","Fuel / resource mix","Core baseline / abatement calculation","percent","","resource_proportion","0","true","CONSTANT","2019-01-01","2019","","","Initialized to 0%.","0","","Replace with local data","City/country fuel or technology mix","Medium","Represents the existing resource or fuel mix, which varies materially by place.","Rule-based initial assessment; expert validation required","1","diesel_passenger_rail","3","T-1A2-TE-1; T-1A2-TE-2; T-1A2-TE-3","biofuel_for_diesel_rail_passenger; shift_to_electric_passenger_rail; shift_to_hydrogen_passenger_rail","transport","true","1","T-1A2-TE-2","Replace with local data","models/parameters/resource_proportion_biodiesel_rail_passenger.yaml","https://www.transitionelements.org/","TEF working repository snapshot reviewed 2026-08-25","2026-08-25","CC BY-NC-SA 4.0"
"resource_proportion_biogas","Fuel proportion compressed biogas for cars","RESOURCE_PROPORTION","Fuel / resource mix","Core baseline / abatement calculation","percent","PRIO_LOW","resource_proportion; PRIO_LOW","0","true","CONSTANT","2019-01-01","2019","","","Initialized to 0%.","0","","Replace with local data","City/country fuel or technology mix","Medium","Represents the existing resource or fuel mix, which varies materially by place.","Rule-based initial assessment; expert validation required","1","gas_vehicles","12","T-1A1A-TE-1; T-1A1A-TE-10; T-1A1A-TE-12; T-1A1A-TE-18; T-1A1A-TE-19; T-1A1A-TE-20; T-1A1A-TE-22; T-1A1A-TE-3; T-1A1A-TE-5; T-1A1A-TE-6; T-1A1A-TE-7; T-1A1A-TE-8","biofuel_for_gas_vehicles; ecodriving_of_cars; improved_urban_planning; increased_proportion_of_commuting_by_electric_bus; increased_proportion_of_non_travel_meetings_and_services; increased_proportion_of_public_transport_by_trams_and_light_rail; increased_proportion_of_walking_and_cycling; more_efficient_commuting_by_car; shift_to_electric_vehicles; shift_to_gas_vehicles; transfer_from_car_to_railway; transfer_from_car_to_remote_working","transport","true","7","T-1A1A-TE-1; T-1A1A-TE-10; T-1A1A-TE-12; T-1A1A-TE-18; T-1A1A-TE-19; T-1A1A-TE-22; T-1A1A-TE-6","Replace with local data","models/parameters/resource_proportion_biogas.yaml","https://www.transitionelements.org/","TEF working repository snapshot reviewed 2026-08-25","2026-08-25","CC BY-NC-SA 4.0"
"resource_proportion_biogas_gasbus","Fuel proportion compressed biogas for buses","RESOURCE_PROPORTION","Fuel / resource mix","Core baseline / abatement calculation","percent","PRIO_LOW","resource_proportion; PRIO_LOW","0","true","CONSTANT","2019-01-01","2019","","","Initialized to 0%.","0","","Replace with local data","City/country fuel or technology mix","Medium","Represents the existing resource or fuel mix, which varies materially by place.","Rule-based initial assessment; expert validation required","1","gas_buses","3","T-1A1A-TE-15; T-1A1C-TE-2; T-1A1C-TE-4","biofuel_for_gas_buses; improved_vehicle_technology_buses; increased_proportion_of_public_transport_by_gas_bus","transport","true","2","T-1A1A-TE-15; T-1A1C-TE-4","Replace with local data","models/parameters/resource_proportion_biogas_gasbus.yaml","https://www.transitionelements.org/","TEF working repository snapshot reviewed 2026-08-25","2026-08-25","CC BY-NC-SA 4.0"
"resource_proportion_biogas_heavy_trucks","Fuel proportion compressed biogas for heavy trucks","RESOURCE_PROPORTION","Fuel / resource mix","Core baseline / abatement calculation","percent","PRIO_LOW","resource_proportion; PRIO_LOW","0","true","CONSTANT","2019-01-01","2019","","","Initialized to 0%.","0","","Replace with local data","City/country fuel or technology mix","Medium","Represents the existing resource or fuel mix, which varies materially by place.","Rule-based initial assessment; expert validation required","1","gas_heavy_trucks","4","T-1B1B-TE-1; T-1B1B-TE-5; T-1B1B-TE-7; T-1B1B-TE-8","ecodriving_of_heavy_trucks; gas_heavy_trucks; improved_load_factor_heavy_trucks; improved_vehicle_technology_heavy_trucks","transport","true","2","T-1B1B-TE-1; T-1B1B-TE-7","Replace with local data","models/parameters/resource_proportion_biogas_heavy_trucks.yaml","https://www.transitionelements.org/","TEF working repository snapshot reviewed 2026-08-25","2026-08-25","CC BY-NC-SA 4.0"
"resource_proportion_biogas_light_trucks","Fuel proportion compressed biogas for light trucks","RESOURCE_PROPORTION","Fuel / resource mix","Core baseline / abatement calculation","percent","PRIO_LOW","resource_proportion; PRIO_LOW","0","true","CONSTANT","2019-01-01","2019","","","Initialized to 0%.","0","","Replace with local data","City/country fuel or technology mix","Medium","Represents the existing resource or fuel mix, which varies materially by place.","Rule-based initial assessment; expert validation required","1","gas_light_trucks","5","T-1B1A-TE-1; T-1B1A-TE-5; T-1B1A-TE-7; T-1B1A-TE-8; T-1B1A-TE-9","ecodriving_of_light_trucks; gas_light_trucks; improved_load_factor_light_trucks; improved_vehicle_technology_light_trucks; route_optimisation_light_trucks","transport","true","3","T-1B1A-TE-1; T-1B1A-TE-7; T-1B1A-TE-8","Replace with local data","models/parameters/resource_proportion_biogas_light_trucks.yaml","https://www.transitionelements.org/","TEF working repository snapshot reviewed 2026-08-25","2026-08-25","CC BY-NC-SA 4.0"
"resource_proportion_diesel","Fuel proportion diesel for vehicles","RESOURCE_PROPORTION","Fuel / resource mix","Core baseline / abatement calculation","percent","PRIO_MEDIUM","resource_proportion; PRIO_MEDIUM","100","true","CONSTANT","2019-01-01","2019","","","Initialized to 100%.","3","DE; GB; SE","Replace with local data","City/country fuel or technology mix","Medium","Represents the existing resource or fuel mix, which varies materially by place.","Rule-based initial assessment; expert validation required","1","diesel_vehicles","20","T-1A1A-TE-1; T-1A1A-TE-10; T-1A1A-TE-11; T-1A1A-TE-12; T-1A1A-TE-13; T-1A1A-TE-14; T-1A1A-TE-15; T-1A1A-TE-16; T-1A1A-TE-17; T-1A1A-TE-18; T-1A1A-TE-19; T-1A1A-TE-2; T-1A1A-TE-21; T-1A1A-TE-22; T-1A1A-TE-3; T-1A1A-TE-4; T-1A1A-TE-5; T-1A1A-TE-6; T-1A1A-TE-7; T-1A1A-TE-8","ecodriving_of_cars; improved_urban_planning; improved_vehicle_technology; increase_renewable_proportion_in_diesel; increased_proportion_of_commuting_by_electric_bus; increased_proportion_of_non_travel_meetings_and_services; increased_proportion_of_public_transport_by_diesel_bus; increased_proportion_of_public_transport_by_gas_bus; increased_proportion_of_public_transport_by_hydrogen_bus; increased_proportion_of_public_transport_by_lpg_bus; increased_proportion_of_public_transport_by_petrol_bus; increased_proportion_of_public_transport_by_trams_and_light_rail; increased_proportion_of_walking_and_cycling; more_efficient_commuting_by_car; shift_to_electric_bikes; shift_to_electric_vehicles; shift_to_gas_vehicles; shift_to_hydrogen_vehicles; transfer_from_car_to_railway; transfer_from_car_to_remote_working","transport","true","14","T-1A1A-TE-1; T-1A1A-TE-10; T-1A1A-TE-11; T-1A1A-TE-12; T-1A1A-TE-13; T-1A1A-TE-14; T-1A1A-TE-15; T-1A1A-TE-16; T-1A1A-TE-17; T-1A1A-TE-18; T-1A1A-TE-19; T-1A1A-TE-22; T-1A1A-TE-4; T-1A1A-TE-6","Replace with local data","models/parameters/resource_proportion_diesel.yaml","https://www.transitionelements.org/","TEF working repository snapshot reviewed 2026-08-25","2026-08-25","CC BY-NC-SA 4.0"
"resource_proportion_diesel_buses","Fuel proportion diesel for buses","RESOURCE_PROPORTION","Fuel / resource mix","Core baseline / abatement calculation","percent","PRIO_LOW","resource_proportion; PRIO_LOW","100","true","CONSTANT","2019-01-01","2019","","","Initialized to 100%.","0","","Replace with local data","City/country fuel or technology mix","Medium","Represents the existing resource or fuel mix, which varies materially by place.","Rule-based initial assessment; expert validation required","1","diesel_buses","3","T-1A1A-TE-17; T-1A1C-TE-1; T-1A1C-TE-4","biofuel_for_diesel_buses; improved_vehicle_technology_buses; increased_proportion_of_public_transport_by_diesel_bus","transport","true","2","T-1A1A-TE-17; T-1A1C-TE-4","Replace with local data","models/parameters/resource_proportion_diesel_buses.yaml","https://www.transitionelements.org/","TEF working repository snapshot reviewed 2026-08-25","2026-08-25","CC BY-NC-SA 4.0"
"resource_proportion_diesel_heavy_trucks","Fuel proportion of diesel for heavy trucks","RESOURCE_PROPORTION","Fuel / resource mix","Core baseline / abatement calculation","percent","PRIO_MEDIUM","resource_proportion; PRIO_MEDIUM","100","true","CONSTANT","2019-01-01","2019","","","Initialized to 100%.","3","CH; DE; SE","Replace with local data","City/country fuel or technology mix","Medium","Represents the existing resource or fuel mix, which varies materially by place.","Rule-based initial assessment; expert validation required","1","diesel_heavy_trucks","9","T-1B1B-TE-1; T-1B1B-TE-10; T-1B1B-TE-2; T-1B1B-TE-4; T-1B1B-TE-5; T-1B1B-TE-6; T-1B1B-TE-7; T-1B1B-TE-8; T-1B1B-TE-9","biofuel_for_heavy_trucks; ecodriving_of_heavy_trucks; gas_heavy_trucks; hydrogen_for_heavy_trucks; improved_load_factor_heavy_trucks; improved_vehicle_technology_heavy_trucks; shift_to_electric_heavy_trucks; transfer_from_heavy_truck_to_electric_railway; transfer_from_heavy_truck_to_sea","transport","true","5","T-1B1B-TE-1; T-1B1B-TE-10; T-1B1B-TE-6; T-1B1B-TE-7; T-1B1B-TE-9","Replace with local data","models/parameters/resource_proportion_diesel_heavy_trucks.yaml","https://www.transitionelements.org/","TEF working repository snapshot reviewed 2026-08-25","2026-08-25","CC BY-NC-SA 4.0"
