opportunity_id,opportunity_name,funder_id,funder_name,instrument,gpc_sectors,eligible_actor,access_pathway,status,recurrence,amount_note,climate_relevance,specificity,source_url,source_dataset,access_route,city_can_apply
fpa-2022-rapa-nui-sustentable,FPA 2022 – Rapa Nui Sustentable,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",unspecified,direct application (via fondos.gob.cl),closed,sporadic,,explicit,sector-specific,https://fondos.mma.gob.cl/fpa-2022-rapa-nui-sustentable/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2022-reas-verdes-comunitarias,FPA 2022 – Áreas Verdes Comunitarias,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",community/citizen org,direct application (via fondos.gob.cl),closed,sporadic,,explicit,sector-specific,https://fondos.mma.gob.cl/areas-verdes-comunitarias/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2022-conservaci-n-de-humedales-urbanos,FPA 2022 – Conservación de Humedales Urbanos,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""afolu""]",unspecified,direct application (via fondos.gob.cl),closed,sporadic,,explicit,sector-specific,https://fondos.mma.gob.cl/conservacion-de-humedales-urbanos/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2022-iniciativas-sustentables-para-fundacion,FPA 2022 – Iniciativas Sustentables para Fundaciones y Corporaciones,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",community/citizen org,direct application (via fondos.gob.cl),closed,sporadic,,explicit,sector-specific,https://fondos.mma.gob.cl/iniciativas-sustentables-para-fundaciones-y-corporaciones/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2022-iniciativas-sustentables-para-pueblos-i,FPA 2022 – Iniciativas Sustentables para Pueblos Indígenas,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",indigenous community,direct application (via fondos.gob.cl),closed,annual,,explicit,sector-specific,https://fondos.mma.gob.cl/iniciativas-sustentables-para-pueblos-indigenas/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2022-iniciativas-sustentables-en-establecimi,FPA 2022 – Iniciativas Sustentables en Establecimientos Educacionales,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",unspecified,direct application (via fondos.gob.cl),closed,annual,,explicit,sector-specific,https://fondos.mma.gob.cl/iniciativas-sustentables-en-establecimientos-educacionales/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2022-iniciativas-sustentables-ciudadanas,FPA 2022 – Iniciativas Sustentables Ciudadanas,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",unspecified,direct application (via fondos.gob.cl),closed,annual,,explicit,sector-specific,https://fondos.mma.gob.cl/iniciativas-sustentables-ciudadanas/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2021-iniciativas-sustentables-en-establecimi,FPA 2021 – Iniciativas Sustentables en Establecimientos Educacionales,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",unspecified,direct application (via fondos.gob.cl),closed,annual,,explicit,sector-specific,https://fondos.mma.gob.cl/iniciativas-sustentables-en-establecimientos-educacionales-2021/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2021-iniciativas-sustentables-fundaciones-y-,FPA 2021 – Iniciativas Sustentables Fundaciones y Corporaciones,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",community/citizen org,direct application (via fondos.gob.cl),closed,sporadic,,explicit,sector-specific,https://fondos.mma.gob.cl/iniciativas-sustentables-fundaciones-y-corporaciones-2021/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2021-reas-verdes-comunitarias,FPA 2021 – Áreas Verdes Comunitarias,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",community/citizen org,direct application (via fondos.gob.cl),closed,sporadic,,explicit,sector-specific,https://fondos.mma.gob.cl/iniciativas-sustentables-ciudadanas-4/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2021-conservaci-n-de-humedales-urbanos,FPA 2021 – Conservación de Humedales Urbanos,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""afolu""]",unspecified,direct application (via fondos.gob.cl),closed,sporadic,,explicit,sector-specific,https://fondos.mma.gob.cl/conservacion-humedales-urbanos-2021/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2021-iniciativas-sustentables-para-pueblos-i,FPA 2021 – Iniciativas Sustentables para Pueblos Indígenas,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",indigenous community,direct application (via fondos.gob.cl),closed,annual,,explicit,sector-specific,https://fondos.mma.gob.cl/iniciativas-sustentables-pueblos-indigenas-fpa2021/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2021-iniciativas-sustentables-ciudadanas,FPA 2021 – Iniciativas Sustentables Ciudadanas,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",unspecified,direct application (via fondos.gob.cl),closed,annual,,explicit,sector-specific,https://fondos.mma.gob.cl/iniciativas-sustentables-ciudadanas-2021/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2021-2-concurso-fpa-rapa-nui-sustentable,FPA 2021 – 2º Concurso FPA Rapa Nui Sustentable,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",unspecified,direct application (via fondos.gob.cl),closed,sporadic,,explicit,sector-specific,https://fondos.mma.gob.cl/2o-concurso-fpa-rapa-nui-sustentable/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2020-iniciativas-en-reas-verdes-comunitarias,FPA 2020 – Iniciativas en Áreas Verdes Comunitarias,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",community/citizen org,direct application (via fondos.gob.cl),closed,sporadic,,explicit,sector-specific,https://fondos.mma.gob.cl/iniciativas-en-areas-verdes-comunitarias/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2020-iniciativas-sustentables-en-establecimi,FPA 2020 – Iniciativas Sustentables en Establecimientos Educacionales,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",unspecified,direct application (via fondos.gob.cl),closed,annual,,explicit,sector-specific,https://fondos.mma.gob.cl/iniciativas-sustentables-en-establecimientos-educacionales-2020/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2020-iniciativas-sustentables-pueblos-ind-ge,FPA 2020 – Iniciativas Sustentables Pueblos Indígenas,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",indigenous community,direct application (via fondos.gob.cl),closed,annual,,explicit,sector-specific,https://fondos.mma.gob.cl/iniciativas-sustentables-pueblos-indigenas/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2020-iniciativas-sustentables-ciudadanas,FPA 2020 – Iniciativas Sustentables Ciudadanas,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",unspecified,direct application (via fondos.gob.cl),closed,annual,,explicit,sector-specific,https://fondos.mma.gob.cl/iniciativas-sustentables-ciudadanas-2020/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2020-conservaci-n-reas-marinas-protegidas,FPA 2020 – Conservación Áreas Marinas Protegidas,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""afolu""]",unspecified,direct application (via fondos.gob.cl),closed,sporadic,,explicit,sector-specific,https://fondos.mma.gob.cl/rapa-nui-sustentable/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2020-educaci-n-ambiental-al-aire-libre-en-la,FPA 2020 – Educación Ambiental al Aire Libre en la Región Metropolitana,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",unspecified,direct application (via fondos.gob.cl),closed,sporadic,,explicit,sector-specific,https://fondos.mma.gob.cl/iniciativas-sustentables-ciudadanas-evaluacion/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpa-2020-rapa-nui-sustentable,FPA 2020 – Rapa Nui Sustentable,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""cross_sector""]",unspecified,direct application (via fondos.gob.cl),closed,sporadic,,explicit,sector-specific,https://fondos.mma.gob.cl/iniciativas-sustentables-ciudadanas-3/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpr-2025-fondo-para-el-reciclaje-2025,FPR 2025 – Fondo para el Reciclaje 2025,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""waste""]",municipality,direct application (via fondos.gob.cl),closed,annual,,explicit,sector-specific,https://fondos.mma.gob.cl/fpr-2025-fondo-para-el-reciclaje-2025/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpr-2024-fondo-para-el-reciclaje-2024,FPR 2024 – Fondo para el Reciclaje 2024,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""waste""]",municipality,direct application (via fondos.gob.cl),closed,annual,,explicit,sector-specific,https://fondos.mma.gob.cl/fondo-para-el-reciclaje-2024/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpr-2023-fondo-para-el-reciclaje,FPR 2023 – Fondo para el Reciclaje,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""waste""]",municipality,direct application (via fondos.gob.cl),closed,annual,,explicit,sector-specific,https://fondos.mma.gob.cl/fpr-2023-fondo-para-el-reciclaje/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpr-2022-exequiel-estay-recicladores-de-base,FPR 2022 Exequiel Estay – Recicladores de Base,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""waste""]",municipality,direct application (via fondos.gob.cl),closed,annual,,explicit,sector-specific,https://fondos.mma.gob.cl/fpr-2022-exequiel-estay-recicladores-de-base/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpr-2021-exequiel-estay-recicladores-de-base,FPR 2021 Exequiel Estay – Recicladores de Base,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""waste""]",municipality,direct application (via fondos.gob.cl),closed,annual,,explicit,sector-specific,https://fondos.mma.gob.cl/fondo-para-el-reciclaje-2021-exequiel-estay-recicladores-de-base/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpr-2020-promoviendo-la-econom-a-circular-en-mun,FPR 2020 – Promoviendo la economía circular en municipios a través del reciclaje,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""waste""]",municipality,direct application (via fondos.gob.cl),closed,annual,,explicit,sector-specific,https://fondos.mma.gob.cl/promoviendo-la-economia-circular-en-municipios-a-traves-del-reciclaje/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpr-2020-exequiel-estay-recicladores-de-base,FPR 2020 Exequiel Estay – Recicladores de Base,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""waste""]",municipality,direct application (via fondos.gob.cl),closed,annual,,explicit,sector-specific,https://fondos.mma.gob.cl/fondo-para-el-reciclaje-exequiel-estay-recicladores-de-base/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
fpr-2020-fondo-para-el-reciclaje-chilo-2020,FPR 2020 – Fondo para el Reciclaje Chiloé 2020,ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),grant,"[""waste""]",municipality,direct application (via fondos.gob.cl),closed,annual,,explicit,sector-specific,https://fondos.mma.gob.cl/fondo-para-el-reciclaje-chiloe-2020/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
recambio-de-calefactores-programa-permanente-com,"Recambio de Calefactores (programa permanente, comunas con PDA)",ministerio-del-medio-ambiente-mma,Ministerio del Medio Ambiente (MMA),subsidy,"[""cross_sector""]",household,direct application (via fondos.gob.cl),closed,"ongoing (rolling, per-comuna PDA)",,explicit,sector-specific,https://fondos.mma.gob.cl/recambio-de-calefactores/,cl-mma/cl-mma-fondos,Route A — competitive fund (concurso),yes — city applies directly
comuna-energ-tica,Comuna Energética,ministerio-de-energ-a-agencia-de-sostenibilidad-,"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",technical_assistance + grant (co-financing),"[""stationary_energy""]",municipality,municipality applies/adheres,ongoing,ongoing (rolling adhesion; periodic concursable windows),co-financing via concursable windows; amount varies,explicit (mitigation/EE/ERNC),sector-specific,https://www.comunaenergetica.cl/sobre-comuna-energetica/,cl-minenergia/cl-minenergia-fondos,Route A — competitive fund (concurso),yes — city applies directly
asistencia-t-cnica-para-municipios-en-gesti-n-en,Asistencia Técnica para Municipios en Gestión Energética Local,ministerio-de-energ-a-agencia-de-sostenibilidad-,"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",technical_assistance,"[""stationary_energy""]",municipality,municipality applies,ongoing,ongoing (programme),in-kind technical assistance (no cash grant),explicit (enabling),sector-specific,https://www.agenciase.org/category/desarrollo-y-vinculacion-territorial/asistencia-tecnica-para-municipios-en-gestion-energetica-local/,cl-minenergia/cl-minenergia-fondos,Route A — competitive fund (concurso),yes — city applies directly
parque-solar-comunitario,Parque Solar Comunitario,ministerio-de-energ-a-agencia-de-sostenibilidad-,"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",blended (designed/co-financed PV),"[""stationary_energy""]",municipality + community (joint ownership),via municipality (ministry rollout),"in rollout (design phase, 59 comunas)","ongoing (programme rollout, not an annual concurso)",ministry-designed distributed generation; benefit = bill discounts,explicit (ERNC),sector-specific,https://energia.gob.cl/noticias/nacional/parque-solar-comunitario-ministerio-de-energia-disenara-proyectos-fotovoltaicos-en-59-comunas-de-todo-chile,cl-minenergia/cl-minenergia-fondos,Route A — competitive fund (concurso),unknown
casa-solar,Casa Solar,ministerio-de-energ-a-agencia-de-sostenibilidad-,"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",blended (subsidy + aggregated purchase),"[""stationary_energy""]",household (municipally facilitated),facilitated-by-city (comuna must be enrolled),open (rolling in enrolled comunas),"ongoing (rolling, per-comuna enrolment)",co-financing up to ~50% of rooftop PV + ~30% aggregate-purchase discount,explicit (residential ERNC),sector-specific,https://www.casasolar.cl/,cl-minenergia/cl-minenergia-fondos,Route A — competitive fund (concurso),"facilitated — city enables applicants, not a direct city grant"
fondo-de-acceso-a-la-energ-a-fae,Fondo de Acceso a la Energía (FAE),ministerio-de-energ-a-agencia-de-sostenibilidad-,"Ministerio de Energía / Agencia de Sostenibilidad Energética (AgenciaSE, fundación de derecho privado)",grant,"[""stationary_energy""]",community/citizen org (rol público comunitario >5 yrs; not municipalities directly),direct application (via fondos.gob.cl),closed,sporadic (created 2014 as pilot; last call closed 20 Jul 2024),"PV up to 10 kWp; solar thermal up to 1,500 L accumulation",explicit (ERNC energy access),sector-specific,https://www.chileatiende.gob.cl/fichas/36666-fondo-de-acceso-a-la-energia-fae,cl-minenergia/cl-minenergia-fondos,Route A — competitive fund (concurso),yes — city applies directly
